gageid,agency,domain
03378635,USGS,CONUS
03379500,USGS,CONUS
03384450,USGS,CONUS
03403910,USGS,CONUS
03408500,USGS,CONUS
03409500,USGS,CONUS
03413200,USGS,CONUS
03415000,USGS,CONUS
03424730,USGS,CONUS
03431599,USGS,CONUS
03431800,USGS,CONUS
03432350,USGS,CONUS
03433500,USGS,CONUS
03436690,USGS,CONUS
03439000,USGS,CONUS
03441000,USGS,CONUS
0344894205,USGS,CONUS
03455500,USGS,CONUS
03456500,USGS,CONUS
03460000,USGS,CONUS
03463300,USGS,CONUS
03471500,USGS,CONUS
03479000,USGS,CONUS
03488000,USGS,CONUS
03491000,USGS,CONUS
03497300,USGS,CONUS
03500000,USGS,CONUS
03500240,USGS,CONUS
03504000,USGS,CONUS
03518500,USGS,CONUS
03527220,USGS,CONUS
03535000,USGS,CONUS
03535400,USGS,CONUS
03539778,USGS,CONUS
03544970,USGS,CONUS
03567340,USGS,CONUS
03574500,USGS,CONUS
03578000,USGS,CONUS
03578500,USGS,CONUS
03588500,USGS,CONUS
03597590,USGS,CONUS
03599450,USGS,CONUS
03604000,USGS,CONUS
03605078,USGS,CONUS
04015330,USGS,CONUS
04024430,USGS,CONUS
04027000,USGS,CONUS
04031000,USGS,CONUS
04033000,USGS,CONUS
04040500,USGS,CONUS
04043050,USGS,CONUS
04043150,USGS,CONUS
04043244,USGS,CONUS
04045500,USGS,CONUS
04046000,USGS,CONUS
04056500,USGS,CONUS
04057510,USGS,CONUS
04057800,USGS,CONUS
04059500,USGS,CONUS
04060993,USGS,CONUS
04063700,USGS,CONUS
04066500,USGS,CONUS
04067958,USGS,CONUS
04073365,USGS,CONUS
04074950,USGS,CONUS
04080000,USGS,CONUS
04085200,USGS,CONUS
04085427,USGS,CONUS
04086500,USGS,CONUS
04100500,USGS,CONUS
04101370,USGS,CONUS
04104945,USGS,CONUS
04105700,USGS,CONUS
04112850,USGS,CONUS
04114498,USGS,CONUS
04115265,USGS,CONUS
04117500,USGS,CONUS
04118500,USGS,CONUS
04122200,USGS,CONUS
04122500,USGS,CONUS
04124000,USGS,CONUS
04124500,USGS,CONUS
04126970,USGS,CONUS
04127800,USGS,CONUS
04127997,USGS,CONUS
04136000,USGS,CONUS
04142000,USGS,CONUS
04144500,USGS,CONUS
04146063,USGS,CONUS
04148140,USGS,CONUS
04152238,USGS,CONUS
04159492,USGS,CONUS
04161540,USGS,CONUS
04163400,USGS,CONUS
04164500,USGS,CONUS
04166000,USGS,CONUS
04180988,USGS,CONUS
04185000,USGS,CONUS
04189000,USGS,CONUS
04196800,USGS,CONUS
04197100,USGS,CONUS
04197170,USGS,CONUS
04199155,USGS,CONUS
04199500,USGS,CONUS
04207200,USGS,CONUS
04208000,USGS,CONUS
04209000,USGS,CONUS
04213000,USGS,CONUS
04213500,USGS,CONUS
04214500,USGS,CONUS
04215000,USGS,CONUS
04215500,USGS,CONUS
04216418,USGS,CONUS
04217000,USGS,CONUS
04218000,USGS,CONUS
04221000,USGS,CONUS
04224775,USGS,CONUS
04229500,USGS,CONUS
04230500,USGS,CONUS
04231000,USGS,CONUS
0423205010,USGS,CONUS
04233286,USGS,CONUS
04234000,USGS,CONUS
04242500,USGS,CONUS
04243500,USGS,CONUS
04252500,USGS,CONUS
04256000,USGS,CONUS
04262500,USGS,CONUS
04265432,USGS,CONUS
04268800,USGS,CONUS
04273700,USGS,CONUS
04273800,USGS,CONUS
04275000,USGS,CONUS
04280450,USGS,CONUS
04282000,USGS,CONUS
04282500,USGS,CONUS
04282525,USGS,CONUS
04282650,USGS,CONUS
04282780,USGS,CONUS
04286000,USGS,CONUS
04288000,USGS,CONUS
04292000,USGS,CONUS
04293000,USGS,CONUS
04293500,USGS,CONUS
04296000,USGS,CONUS
05014300,USGS,CONUS
05056000,USGS,CONUS
05056100,USGS,CONUS
05056200,USGS,CONUS
05057000,USGS,CONUS
05057200,USGS,CONUS
05059600,USGS,CONUS
05061000,USGS,CONUS
05061500,USGS,CONUS
05062500,USGS,CONUS
05078500,USGS,CONUS
05087500,USGS,CONUS
05120500,USGS,CONUS
05123400,USGS,CONUS
05127500,USGS,CONUS
05129115,USGS,CONUS
05131500,USGS,CONUS
05132000,USGS,CONUS
05212700,USGS,CONUS
05245100,USGS,CONUS
05275000,USGS,CONUS
05290000,USGS,CONUS
05291000,USGS,CONUS
05293000,USGS,CONUS
05315000,USGS,CONUS
05316970,USGS,CONUS
05316992,USGS,CONUS
05317000,USGS,CONUS
05317200,USGS,CONUS
05319500,USGS,CONUS
05327000,USGS,CONUS
05336700,USGS,CONUS
05353800,USGS,CONUS
05357335,USGS,CONUS
05362000,USGS,CONUS
05368000,USGS,CONUS
05383950,USGS,CONUS
05387440,USGS,CONUS
05389000,USGS,CONUS
05389400,USGS,CONUS
05393500,USGS,CONUS
05399500,USGS,CONUS
05407470,USGS,CONUS
05411850,USGS,CONUS
05412400,USGS,CONUS
05413500,USGS,CONUS
05414000,USGS,CONUS
05420680,USGS,CONUS
05426000,USGS,CONUS
05426067,USGS,CONUS
05431486,USGS,CONUS
05444000,USGS,CONUS
05447500,USGS,CONUS
05451210,USGS,CONUS
05454000,USGS,CONUS
05455500,USGS,CONUS
05458000,USGS,CONUS
05459500,USGS,CONUS
05464220,USGS,CONUS
05466500,USGS,CONUS
05467000,USGS,CONUS
05473450,USGS,CONUS
05478265,USGS,CONUS
05480820,USGS,CONUS
05481950,USGS,CONUS
05482300,USGS,CONUS
05483450,USGS,CONUS
05487980,USGS,CONUS
05488200,USGS,CONUS
05489000,USGS,CONUS
05494300,USGS,CONUS
05495500,USGS,CONUS
05498150,USGS,CONUS
05498700,USGS,CONUS
05501000,USGS,CONUS
05503800,USGS,CONUS
05506100,USGS,CONUS
05507600,USGS,CONUS
05508805,USGS,CONUS
05514500,USGS,CONUS
05514840,USGS,CONUS
05516500,USGS,CONUS
05525500,USGS,CONUS
05551200,USGS,CONUS
05551675,USGS,CONUS
05556500,USGS,CONUS
05567500,USGS,CONUS
05569500,USGS,CONUS
05570000,USGS,CONUS
05577500,USGS,CONUS
05584500,USGS,CONUS
05587000,USGS,CONUS
05591550,USGS,CONUS
05592050,USGS,CONUS
05592575,USGS,CONUS
05593575,USGS,CONUS
05593900,USGS,CONUS
05595730,USGS,CONUS
06024450,USGS,CONUS
06024540,USGS,CONUS
06025250,USGS,CONUS
06025500,USGS,CONUS
06036805,USGS,CONUS
06036905,USGS,CONUS
06037100,USGS,CONUS
06037500,USGS,CONUS
06043500,USGS,CONUS
06061500,USGS,CONUS
06073500,USGS,CONUS
06091700,USGS,CONUS
06093200,USGS,CONUS
06099500,USGS,CONUS
06102500,USGS,CONUS
06108000,USGS,CONUS
06119600,USGS,CONUS
06120500,USGS,CONUS
06139500,USGS,CONUS
06151500,USGS,CONUS
06186500,USGS,CONUS
06187915,USGS,CONUS
06195600,USGS,CONUS
06209500,USGS,CONUS
06218500,USGS,CONUS
06220800,USGS,CONUS
06221400,USGS,CONUS
06224000,USGS,CONUS
06278300,USGS,CONUS
06280300,USGS,CONUS
06289000,USGS,CONUS
06309200,USGS,CONUS
06311000,USGS,CONUS
06331000,USGS,CONUS
06332515,USGS,CONUS
06334500,USGS,CONUS
06336600,USGS,CONUS
06339100,USGS,CONUS
06342450,USGS,CONUS
06344600,USGS,CONUS
06347000,USGS,CONUS
06347500,USGS,CONUS
06350000,USGS,CONUS
06351200,USGS,CONUS
06352000,USGS,CONUS
06353000,USGS,CONUS
06360500,USGS,CONUS
06392900,USGS,CONUS
06400000,USGS,CONUS
06402430,USGS,CONUS
06404000,USGS,CONUS
06409000,USGS,CONUS
06422500,USGS,CONUS
06424000,USGS,CONUS
06429500,USGS,CONUS
